"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"2. AI 캐릭터 생성","TC-013","성격 키워드 4개 이상 선택 시도","Unhappy Path","캐릭터 생성 화면에서 키워드 3개가 이미 선택된 상태","4번째 키워드 선택 시도","추가 선택이 차단되거나 최대 3개 제한 안내가 표시됨","P2","기획서기반"
"2. AI 캐릭터 생성","TC-014","재생성 1일 3회 한도 초과 후 다시 생성 시도","Edge Case","당일 재생성을 3회 모두 사용한 상태","「다시 생성」 버튼 클릭","버튼이 비활성화되고 잔여 횟수 0과 함께 한도 초과 안내 문구가 구체적으로 표시됨","P1","AI추가"
"2. AI 캐릭터 생성","TC-015","캐릭터 생성 진행 중 네트워크 연결 끊김","Edge Case","캐릭터 생성이 진행 중인 상태","생성 진행 중 네트워크 연결을 강제로 차단","생성 실패 안내와 재시도가 제공되고 재생성 가능 횟수가 차감되지 않음","P0","AI추가"
"2. AI 캐릭터 생성","TC-016","대표사진 미등록 상태에서 AI 캐릭터 만들기 시도","Edge Case","프로필은 등록되어 있으나 대표사진이 없는 상태","「AI 캐릭터 만들기」 버튼 클릭","사진 등록이 필요하다는 안내와 함께 사진 업로드 화면으로 이동되며 생성 자체가 차단됨","P0","AI추가"
"2. AI 캐릭터 생성","TC-017","AI 분석 결과 캐릭터 이미지 일부가 생성 기준 미달로 반환될 때","Edge Case","AI 캐릭터 생성이 요청된 상태","생성 결과 3종 중 일부가 형식·해상도 기준 미달로 반환되는 상황 발생","자동 재시도 또는 대체 캐릭터로 3종 카드가 모두 채워져 표시되며 빈 카드나 에러 이미지가 노출되지 않음","P1","AI추가"
"2. AI 캐릭터 생성","TC-018","캐릭터 생성 로딩 중 앱 백그라운드 전환 후 재진입","Edge Case","캐릭터 생성이 진행 중인 상태","로딩 화면에서 앱을 백그라운드로 전환 후 일정 시간 뒤 재진입","생성 작업이 유지되어 결과를 확인할 수 있고 재생성 횟수가 중복 차감되지 않음","P1","AI추가"
"2. AI 캐릭터 생성","TC-019","다묘 가정 계정에서 재생성 한도의 적용 단위 확인","Edge Case","반려동물 5마리가 등록된 계정","서로 다른 반려동물 각각에서 재생성을 시도해 한도 차감 방식을 확인","한도가 계정 단위인지 반려동물별 단위인지가 명세에 명시되어 있고 5마리 각각의 잔여 재생성 횟수 표시가 그 기준과 일치함","P1","AI추가"
"2. AI 캐릭터 생성","TC-051","재생성 1회 정상 수행 시 직전과 다른 변형 캐릭터 생성","Happy Path","캐릭터 생성이 완료되고 당일 재생성 잔여 횟수가 1회 이상 남은 상태","캐릭터 결과 화면에서 「다시 생성」 버튼 클릭","직전 결과와 다른 변형 캐릭터 3종이 생성되고 남은 재생성 횟수가 1 차감되어 버튼 옆에 표시됨","P1","기획서기반"
"3. AI 일기 자동생성","TC-020","오늘의 키워드 선택 후 일기 수동 생성","Happy Path","캐릭터가 저장되어 있는 프로필이 있음","오늘의 키워드 선택 → 「오늘의 일기 쓰기」 클릭","캐릭터 성격과 키워드가 반영된 200~400자 1인칭 일기가 이미지·날짜와 함께 생성되어 일기장에서 조회됨","P0","기획서기반"
"3. AI 일기 자동생성","TC-021","오후 9시 자동 일기 생성 트리거 동작 확인","Happy Path","사용자가 수동으로 일기를 생성하지 않은 상태","오후 9시가 되는 시점까지 대기","사용자 조작 없이도 일기 1건이 자동 생성되어 일기장에 저장됨","P1","기획서기반"
"3. AI 일기 자동생성","TC-022","오늘 일기가 이미 생성된 상태에서 오늘의 일기 쓰기 재요청","Unhappy Path","오늘 자동 또는 수동으로 일기가 이미 1건 생성된 상태","「오늘의 일기 쓰기」 버튼을 다시 클릭","하루 1회 생성 제한 안내가 표시되며 기존 일기가 의도치 않게 덮어써지지 않음","P1","기획서기반"
"3. AI 일기 자동생성","TC-023","일기 0건 상태에서 일기장 탭 진입","Edge Case","아직 생성된 일기가 없는 상태","「일기장」 탭 클릭","빈 상태 안내 문구와 첫 일기 생성 유도가 표시됨","P2","AI추가"
"3. AI 일기 자동생성","TC-024","일기 생성 중 네트워크 끊김·타임아웃","Edge Case","일기 생성이 진행 중인 상태","생성 진행 중 네트워크 연결을 강제로 차단하거나 응답 지연을 유도","생성 실패 안내와 재시도가 제공되고 부분 저장된 깨진 일기가 노출되지 않음","P1","AI추가"
"3. AI 일기 자동생성","TC-025","지원 언어 3개 외 언어 설정 상태에서 일기 생성 요청","Edge Case","설정 언어가 한국어·영어·일본어가 아닌 상태","일기 생성 요청","지원 언어로 대체 생성되거나 미지원 안내가 명확히 표시되며 빈 결과가 노출되지 않음","P1","AI추가"
"3. AI 일기 자동생성","TC-026","생성된 일기 글자수가 200~400자 기준을 벗어날 때","Edge Case","일기 생성이 요청된 상태","생성 결과 글자수가 200자 미만 또는 400자 초과로 반환되는 상황 발생","자동 재생성 또는 기준 내 보정을 통해 최종적으로 기준을 만족하는 일기만 저장됨","P1","AI추가"
"3. AI 일기 자동생성","TC-027","일기 생성 로딩 중 앱 백그라운드 전환 후 재진입","Edge Case","일기 생성이 진행 중인 상태","로딩 중 앱을 백그라운드로 전환 후 재진입","생성 작업이 유지되어 중복 생성 없이 결과를 확인할 수 있음","P1","AI추가"
"3. AI 일기 자동생성","TC-028","다묘 가정에서 하루 1회 자동생성의 적용 단위 확인","Edge Case","반려동물 5마리가 등록된 계정","오후 9시 자동생성 시점에 각 반려동물별 일기 생성 여부 확인","적용 단위(계정 전체 1회 또는 반려동물별 1회)가 명세에 명시되어 있고 5마리 각각의 일기 생성 여부가 그 기준과 일치함","P1","AI추가"
"3. AI 일기 자동생성","TC-029","장기간 활동기록이 없는 반려동물에도 자동 일기가 계속 생성되는지 확인","Edge Case","특정 반려동물에 대해 사진 추가·활동 기록이 장기간 없는 상태","오후 9시 자동생성 시점까지 대기","활동 트리거 없이 일기가 무한 자동생성되지 않도록 처리되거나 사용자가 자동생성을 일시중지할 수 있는 방법이 제공됨","P0","AI추가"
"3. AI 일기 자동생성","TC-052","일기 생성 언어를 영어·일본어로 변경 후 정상 생성","Happy Path","캐릭터가 저장된 프로필이 있고 설정에서 일기 생성 언어를 변경한 상태","설정에서 일기 생성 언어를 영어 또는 일본어로 변경 → 이후 「오늘의 일기 쓰기」로 생성","변경한 언어로 200~400자 1인칭 일기가 생성되며 변경 이전에 생성된 일기에는 영향이 없음","P1","기획서기반"
"4. 커뮤니티 피드","TC-030","캐릭터·일기 첨부 후 게시물 정상 게시","Happy Path","저장된 캐릭터 또는 일기가 있음","캐릭터 또는 일기 첨부 → 본문 작성 → 「게시」 클릭","게시 즉시 피드에 게시물이 노출됨","P1","기획서기반"
"4. 커뮤니티 피드","TC-031","피드 정렬 전환 및 무한스크롤 조회","Happy Path","피드에 게시물이 20개 이상 존재함","최신순/인기순 정렬 전환 후 스크롤을 끝까지 내림","정렬 전환 시 목록이 갱신되고 20개 단위로 게시물이 추가 로딩됨","P2","기획서기반"
"4. 커뮤니티 피드","TC-032","게시물 본문 500자 초과 입력 시도","Unhappy Path","게시물 작성 화면에 진입한 상태","501자 이상 텍스트 입력 시도","500자를 초과해 입력되지 않거나 게시 시 초과 에러가 표시됨","P2","기획서기반"
"4. 커뮤니티 피드","TC-033","사진 5장 이상 첨부 또는 해시태그 11개 이상 입력 시도","Unhappy Path","게시물 작성 화면에서 사진 4장 또는 해시태그 10개가 이미 첨부된 상태","5번째 사진 첨부 또는 11번째 해시태그 입력 시도","초과분 첨부 또는 입력이 차단됨","P2","기획서기반"
"4. 커뮤니티 피드","TC-034","피드 게시물 0건 또는 검색결과 0건 상태","Edge Case","신규 계정으로 아무도 팔로우하지 않고 게시물이 없는 상태","피드 탭 진입 또는 존재하지 않는 키워드로 검색","각각 빈 상태 안내 문구가 표시됨","P2","AI추가"
"4. 커뮤니티 피드","TC-035","비로그인 상태에서 좋아요·댓글·게시 시도","Edge Case","로그아웃된 상태","게시물에 좋아요 또는 댓글 작성 시도","로그인 화면으로 전환되어 비인증 요청이 차단됨","P1","AI추가"
"4. 커뮤니티 피드","TC-036","게시물 작성 중 네트워크 끊김","Edge Case","사진이 첨부된 게시물 작성이 진행 중인 상태","「게시」 클릭 직후 네트워크 연결을 강제로 차단","게시 실패 안내와 재시도가 제공되고 중복 게시물이 생성되지 않음","P1","AI추가"
"4. 커뮤니티 피드","TC-053","닉네임·해시태그 검색 및 팔로우 후 피드 우선 노출","Happy Path","피드에 게시물과 다른 사용자가 존재하는 상태","해시태그 또는 닉네임으로 검색 → 결과에서 사용자 팔로우 → 피드로 이동","검색 결과가 게시물·사용자 탭으로 구분 표시되고 팔로우한 사용자의 새 게시물이 피드에 우선 노출됨","P2","기획서기반"
"5. 알림","TC-037","캐릭터·일기 생성 완료 알림 수신","Happy Path","알림 설정이 기본값(수신 ON)으로 되어 있음","캐릭터 또는 일기 생성 완료","설정된 채널(푸시/이메일)로 완료 알림이 도착함","P2","기획서기반"
"5. 알림","TC-038","알림 종류별 ON/OFF 토글 및 채널 선택이 즉시 반영됨","Happy Path","알림 설정 화면에 진입한 상태","특정 알림 종류를 OFF로 변경하고 수신 채널(푸시/이메일)을 전환","변경이 즉시 반영되어 이후 발생하는 알림에 설정이 그대로 적용됨","P2","기획서기반"
"5. 알림","TC-039","알림 0건 상태에서 알림 목록 진입","Edge Case","발생한 알림이 없는 상태","알림 목록 화면 진입","빈 상태 안내 문구가 표시됨","P2","AI추가"
"5. 알림","TC-040","OS 레벨 푸시 권한 미허용 상태에서 푸시 알림 ON 토글","Edge Case","기기 설정에서 앱의 푸시 알림 권한이 거부된 상태","앱 내 알림 설정에서 푸시 알림을 ON으로 토글","OS 권한 설정 유도 안내가 표시되고 토글 상태와 실제 수신 여부가 불일치하지 않음","P1","AI추가"
"5. 알림","TC-050","OFF로 설정한 알림 종류가 설정과 무관하게 계속 수신되는지 검증","Unhappy Path","특정 알림 종류(예: 커뮤니티 알림)를 OFF로 설정한 상태","OFF한 종류에 해당하는 이벤트(좋아요·댓글 등)를 실제로 발생시킴","OFF로 설정한 종류의 알림은 푸시·이메일 어느 채널로도 도착하지 않으며, ON 상태인 다른 종류 알림은 정상 수신됨","P1","기획서기반"
"6. 계정 및 인증","TC-041","이메일 회원가입 후 이메일 인증 완료","Happy Path","회원가입 화면에 진입한 상태","이메일·비밀번호·닉네임 입력 후 가입 → 인증 이메일의 링크 클릭","계정이 활성화되어 이메일·비밀번호 입력으로 로그인에 성공함","P0","기획서기반"
"6. 계정 및 인증","TC-042","소셜 로그인으로 신규 가입","Happy Path","회원가입 화면에 진입한 상태","구글·애플·카카오 중 하나 선택 후 소셜 인증 완료","인증 성공 즉시 앱 이용이 가능함","P0","기획서기반"
"6. 계정 및 인증","TC-043","만 14세 미만 생년월일로 가입 시도","Unhappy Path","회원가입 절차 중 생년월일 입력 단계","만 14세 미만에 해당하는 생년월일 입력 후 가입 시도","연령 제한 안내와 함께 가입이 차단됨","P0","기획서기반"
"6. 계정 및 인증","TC-044","비밀번호 7자 이하로 가입 시도","Unhappy Path","이메일 회원가입 화면에 진입한 상태","7자 이하 비밀번호 입력 후 가입 시도","8자 이상 조건 미달 에러가 표시되고 가입이 차단됨","P1","기획서기반"
"6. 계정 및 인증","TC-045","닉네임 1자 또는 16자 이상 입력 시도","Unhappy Path","프로필 관리 화면에 진입한 상태","닉네임을 1자 또는 16자 이상으로 입력 후 저장 시도","2~15자 범위를 벗어난 입력이 차단됨","P2","기획서기반"
"6. 계정 및 인증","TC-046","가입 후 24시간 내 이메일 인증 미완료 상태 확인","Edge Case","이메일 가입 후 인증 링크를 클릭하지 않은 상태","가입 후 24시간이 경과할 때까지 대기","인증 만료 후 재인증 요청 흐름이 제공되고 계정의 미인증 상태가 명확히 안내됨","P1","AI추가"
"6. 계정 및 인증","TC-047","계정 삭제 절차 중 강제종료 후 재진입","Edge Case","계정 삭제 사유 선택 후 비밀번호 재확인 단계까지 진행한 상태","비밀번호 재확인 전 앱을 강제 종료 후 재실행","삭제 절차가 완료되지 않은 상태로 유지되어 프로필·캐릭터·일기 등 기존 데이터가 그대로 보존되고 계정 로그인·이용이 그대로 가능함","P0","AI추가"
"6. 계정 및 인증","TC-048","이메일 가입 계정과 동일 이메일로 소셜 로그인 시도","Edge Case","특정 이메일로 이미 이메일 가입이 완료된 상태","동일한 이메일 주소의 구글 계정으로 소셜 로그인 시도","중복 계정 생성이 방지되고 기존 계정 연결 또는 명확한 중복 안내가 제공됨","P1","AI추가"
"6. 계정 및 인증","TC-049","계정삭제 후 30일 경과 시점 재로그인 시도","Edge Case","계정 삭제 후 30일이 경과한 상태","삭제했던 계정 정보로 재로그인 시도","데이터 복구가 불가능함이 안내되고 동일 정보로는 신규 가입만 가능함","P0","AI추가"
