"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"2. 예약 관리","TC-015","예정·지난 예약 구분 목록 조회 및 상태 표시","Happy Path","예정 예약과 지난(방문완료/취소) 예약이 각각 1건 이상 존재","「예약 내역」 탭 진입","예정된 예약과 지난 예약이 구분되어 목록으로 표시되고, 각 카드에 업체명·서비스·방문 일시·예약 상태(예약완료/방문완료/취소)가 노출됨","P2","기획서기반"
"2. 예약 관리","TC-016","방문 24시간 전 예약 날짜·시간대 변경","Happy Path","방문까지 24시간 이상 남은 예약완료 상태의 예약 존재","예약 상세 화면에서 방문 날짜·시간대를 예약 가능한 다른 시간으로 변경","변경한 일시로 예약이 갱신되어 저장되고, 예약 내역과 리마인더 알림 시점이 새 일시 기준으로 반영됨","P1","기획서기반"
"2. 예약 관리","TC-017","방문 24시간 전 예약 취소 및 상태 갱신","Happy Path","방문까지 24시간 이상 남은 예약완료 상태의 예약 존재","예약 상세 화면에서 「예약 취소」 실행","취소 확인 화면이 표시되고 예약 상태가 「취소」로 갱신되며, 해당 예약의 리마인더 알림이 더 이상 발송되지 않음","P1","기획서기반"
"2. 예약 관리","TC-018","방문완료 예약에 별점·후기·사진 리뷰 정상 작성","Happy Path","방문완료 상태이며 아직 리뷰를 작성하지 않은 예약 존재","별점(5점 만점) 선택 → 후기 텍스트(500자 이내) 입력 → 사진 3장 이하 첨부 → 등록","리뷰가 저장되어 해당 업체 상세 화면에 노출되고, 해당 예약은 리뷰 작성 완료 상태가 됨","P2","기획서기반"
"2. 예약 관리","TC-019","방문 24시간 이내 예약 변경·취소 시도","Unhappy Path","방문까지 24시간 미만 남은 예약완료 상태의 예약 존재","예약 상세 화면에서 변경 또는 취소 시도","앱 내 변경·취소가 불가함과 업체에 직접 연락하라는 안내가 표시되고, 예약 상태는 변경되지 않음","P2","기획서기반"
"2. 예약 관리","TC-020","후기 500자 초과 입력 시도","Unhappy Path","방문완료 예약의 리뷰 작성 화면","후기 텍스트에 500자를 초과해 입력","500자 제한 안내(또는 초과 입력 차단)가 표시되고 500자를 초과한 리뷰가 저장되지 않음","P2","기획서기반"
"2. 예약 관리","TC-021","동일 예약에 두 번째 리뷰 작성 시도","Unhappy Path","이미 리뷰를 1개 작성한 방문완료 예약 존재","같은 예약에 대해 리뷰를 다시 작성 시도","예약 1건당 리뷰 1개만 가능함이 안내되고 두 번째 리뷰가 생성되지 않음","P2","기획서기반"
"2. 예약 관리","TC-022","예약 내역 0건일 때 빈 상태 처리","Edge Case","예정·지난 예약이 하나도 없는 사용자","「예약 내역」 탭 진입","빈 상태 안내(예약 내역 없음)와 업체 예약하기 유도가 표시되고 빈 화면이 그대로 방치되지 않음","P2","AI추가"
"2. 예약 관리","TC-023","리뷰 사진 첨부 시 카메라·갤러리 권한 미허용","Edge Case","카메라·갤러리 권한이 거부된 상태에서 리뷰 작성 화면 진입","리뷰 사진 첨부 시도","권한 필요 안내와 설정 유도가 표시되고, 크래시 없이 사진 없이도 별점·후기 등록은 계속 진행 가능함","P2","AI추가"
"2. 예약 관리","TC-024","리뷰 사진 4장째(최대 3장 초과) 첨부 시도","Edge Case","리뷰 작성 화면에서 사진 3장을 이미 첨부한 상태","4장째 사진 첨부 시도","최대 3장 초과 안내가 표시되고 4장째 사진이 첨부되지 않음","P2","AI추가"
"2. 예약 관리","TC-025","리뷰 사진 업로드 중 네트워크 끊김","Edge Case","리뷰 사진을 업로드(등록 처리)하는 중인 상태","업로드 진행 중 네트워크 연결을 강제 차단","업로드 실패·재시도 안내가 제공되고, 입력한 별점·후기 내용이 유실되지 않으며 리뷰가 중복 저장되지 않음","P2","AI추가"
"2. 예약 관리","TC-026","예약 취소 처리 중 네트워크 끊김 시 상태 정합성","Edge Case","방문 24시간 전 예약의 취소 요청을 처리(로딩)하는 중","취소 처리 중 네트워크 연결을 강제 차단","취소 성공/실패 상태가 명확히 표시되고, 예약 상태가 「예약완료」와 「취소」 사이에서 불일치하지 않으며 재시도 경로가 제공됨","P1","AI추가"
